Battery Voltage (V),Power (W),Humidity (%rel),Epoch Time,Significant Wave Height (m),Peak Period (s),Mean Period (s),Peak Direction (deg),Peak Directional Spread (deg),Mean Direction (deg),Mean Directional Spread (deg),Latitude (deg),Longitude (deg),f,df,a1,b1,a2,b2,varianceDensity,direction,directionalSpread,Wind Speed (m/s),Wind Direction (deg),Surface Temperature (°C),Partition0 Start Frequency (hz),Partition0 End Frequency (hz),Partition0 Significant Wave Height (m),Partition0 Mean Period (s),Partition0 Mean Direction (deg),Partition0 Mean Directional Spread (deg),Partition1 Start Frequency (hz),Partition1 End Frequency (hz),Partition1 Significant Wave Height (m),Partition1 Mean Period (s),Partition1 Mean Direction (deg),Partition1 Mean Directional Spread (deg),Mean Barometric Pressure (hPa),Processing Source
4.01,-0.14,80.8,1747539600,-,-,-,-,-,-,-,12.5910667,-81.6879333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.04,-0.14,77.6,1747534200,0.499,7.877,2.979,114.319,71.419,55.493,63.077,12.59107,-81.68793,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.35156;0.38086;0.41016;0.43945;0.46875;0.49805;0.6543,0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.0293;0.0293;0.0293;0.0293;0.0293;0.0293;0.2832,-0.01564;-0.083089;-0.100684;-0.117302;-0.14565;-0.097752;-0.071359;-0.097752;-0.236559;-0.235582;-0.203324;-0.191593;-0.213099;-0.195503;-0.191593;-0.183773;-0.208211;-0.228739;-0.251222;-0.313783;-0.371456;-0.348974;-0.352884;-0.392962;-0.400782;-0.475073;-0.482893;-0.477028;-0.455523;-0.446725;-0.445748;-0.442815;-0.463343;-0.468231;-0.42131;-0.44477;-0.487781;-0.355816;-0.147605,0.014663;-0.022483;-0.005865;-0.056696;-0.060606;0.018573;0;-0.039101;-0.050831;-0.037146;0.091887;0.016618;-0.13001;-0.173998;-0.087977;-0.028348;-0.190616;-0.187683;-0.193548;-0.28348;-0.179863;-0.204301;-0.274682;-0.226784;-0.199413;-0.152493;-0.218964;-0.319648;-0.422287;-0.43304;-0.422287;-0.397849;-0.44477;-0.439883;-0.358749;-0.30694;-0.268817;-0.226784;-0.097752,0.16911;0.207234;0.115347;0.040078;0.060606;0.055718;0.111437;0.216031;0.167155;0.138807;0.026393;-0.034213;-0.064516;-0.079179;-0.010753;0.045943;0.012708;0.054741;-0.020528;0.012708;0.083089;0.028348;0.086999;0.054741;0.102639;0.120235;0.097752;-0.000978;-0.176931;-0.120235;-0.004888;-0.026393;-0.046921;0.022483;0.048876;0.090909;0.208211;0.183773;0.243402,0.185728;0.346041;0.435973;0.350929;0.297165;0.254154;0.185728;0.142718;0.219941;0.376344;0.351906;0.432063;0.420332;0.328446;0.365591;0.393939;0.2913;0.14565;0.218964;0.244379;0.12219;0.174976;0.098729;-0.052786;-0.018573;0.042033;0.105572;0.206256;0.301075;0.234604;0.270772;0.214076;0.363636;0.337243;0.240469;0.251222;0.334311;0.190616;0.128055,0.010252288;0.015253504;0.012253183999999999;0.00475136;0.003750912;0.003750912;0.0035010560000000002;0.006251520000000001;0.018003968000000002;0.039510016;0.048262144;0.041010176;0.039510016;0.03800883199999999;0.04226048;0.04226048;0.03600896;0.026256384;0.028507136;0.027256831999999998;0.026256384;0.026506239999999997;0.028006399999999997;0.029507584000000003;0.025505792000000003;0.027256831999999998;0.031257599999999996;0.035258368;0.036758528;0.037259264;0.037009408;0.033508352;0.03425792;0.03600896;0.028006399999999997;0.026256384;0.026006527999999998;0.01875456;0.00775168,133.15336459759325;74.8589556918426;86.66619889446542;64.20396030721088;67.4074582665196;100.75803497380156;90;68.19848945611784;77.87287643809435;81.03951323151512;114.3193536119002;94.95719724506245;58.61296643119999;48.33086341441117;65.33603155846652;81.23092640802287;47.526072631987574;50.63072498093618;52.38840336791742;47.904493508868654;64.16323393857584;59.653873078570655;52.10310368347268;60.010139922822475;63.546909839091086;72.20396383098193;65.6084611993789;56.17466201646528;47.16832041196807;45.891180611047844;46.548196917319615;48.06175738181787;46.17166715234873;46.78798420285386;49.58532693596385;55.390074554357795;61.140760475039315;57.48806563546407;56.48532378066693,80.15519457271728;77.46266066035187;76.83384635092665;75.56594131411657;74.3629395266902;76.89167030971358;78.08391091231607;76.64444238489688;70.54790160124678;70.70900140572658;71.41899990440152;72.82145540582161;70.19014599415993;69.62232733689044;71.98199280537686;73.10786263074694;68.64562443927825;67.99237434382385;66.95849785501227;61.556472367986785;62.095998248215416;62.53496518493841;60.245729618311344;59.889462524632314;60.2204876135512;57.35605949900745;55.53744845574216;52.87244496996349;49.873653965363125;49.806937704294356;50.34094825943805;51.54780224009526;48.46375305996015;48.45161227582127;54.15247856963784;54.932262207882246;53.93419302014791;61.60598590500252;73.50677098834636,7.60,57.14,29.04,-,-,-,-,-,-,-,-,-,-,-,-,1011.3000000000001,embedded
4.04,-0.14,77.6,1747532400,-,-,-,-,-,-,-,12.5910833,-81.6879333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.04,-0.04,68,1747527000,0.522,7.877,3.013,87.319,68.151,61.683,63.078,12.59103,-81.68793,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.35156;0.38086;0.41016;0.43945;0.46875;0.49805;0.6543,0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.0293;0.0293;0.0293;0.0293;0.0293;0.0293;0.2832,-0.152493;-0.135875;-0.13001;-0.062561;-0.053763;-0.082111;-0.209189;-0.196481;-0.139785;-0.290323;-0.292278;-0.258064;-0.201369;-0.15347;-0.204301;-0.15347;-0.245357;-0.26002;-0.243402;-0.199413;-0.242424;-0.290323;-0.336266;-0.438905;-0.465298;-0.447703;-0.498534;-0.543499;-0.545455;-0.545455;-0.470186;-0.491691;-0.500489;-0.548387;-0.489736;-0.477028;-0.434018;-0.398827;-0.160313,-0.104594;-0.066471;0.025415;0.046921;0.013685;-0.096774;-0.119257;-0.025415;-0.121212;-0.041056;-0.013685;-0.063539;-0.15738;-0.029325;0.068426;0.052786;-0.086021;-0.261975;-0.300098;-0.251222;-0.229717;-0.30303;-0.213099;-0.056696;-0.143695;-0.321603;-0.297165;-0.265885;-0.29521;-0.296188;-0.239492;-0.31476;-0.397849;-0.30303;-0.29912;-0.322581;-0.254154;-0.200391;-0.076246,0.073314;0.181818;0.156403;0.094819;0.129032;0.029326;0.142718;0.212121;0.111437;0.266862;0.139785;0.045943;0.093842;0.086999;-0.009775;-0.000978;0.030303;0.032258;-0.105572;-0.146628;-0.112414;-0.083089;0.053763;0.1261;0.034213;-0.097752;0.054741;0.143695;0.151515;0.143695;0.032258;0.000978;-0.009775;0.120235;0.121212;0.173021;0.259042;0.284457;0.26393,0.323558;0.298143;0.351906;0.319648;0.357771;0.315738;0.329423;0.407625;0.184751;0.253177;0.361681;0.403715;0.365591;0.388074;0.313783;0.359726;0.324536;0.29521;0.196481;-0.009775;0.079179;0.107527;-0.004888;0.020528;0.134897;0.273705;0.242424;0.28348;0.346041;0.280547;0.136852;0.207234;0.345064;0.272727;0.238514;0.276637;0.210166;0.228739;0.182796,0.009001984000000001;0.016753664;0.012503040000000002;0.008001536;0.009001984000000001;0.008001536;0.005001216;0.008252416;0.01550336;0.036758528;0.056763392;0.052013055999999995;0.039510016;0.04076032;0.053513216;0.054763519999999996;0.040259583999999994;0.031007744;0.028756992000000002;0.02200576;0.027256831999999998;0.03275776;0.02975744;0.028756992000000002;0.033758208000000005;0.029507584000000003;0.036508672;0.043510784;0.041759744;0.039759872;0.030757888000000004;0.032258048000000004;0.033508352;0.035759104;0.032258048000000004;0.033258496;0.028006399999999997;0.022505472000000002;0.008001536,55.554016198738736;63.93179647293704;101.06097500834011;126.87004417974114;104.28096835358221;40.314006278306465;60.31287631748512;82.62966184651566;49.07040563983401;81.95089530219957;87.31926279164793;76.16809307042058;51.99058495566146;79.18233847772603;108.51710874597848;108.98065319667555;70.6795758106174;44.78541417978977;39.044646261973185;38.441563532773785;46.54166183304767;43.77316504917087;57.63668520728896;82.6395188654842;72.83807789076889;54.30879874583081;59.20177300853021;63.93166979709446;61.576955577337685;61.49755825322825;63.00771405230165;57.37432917033357;51.51808930301246;61.0756530646745;58.58433050348924;55.932233504463;59.64744257913162;63.32271630266189;64.56390802680005,73.15411276201455;74.64904745650064;75.47092485469688;77.79571064668148;78.748776034586;75.71220380198923;70.60202175105391;72.55926712170816;73.14948174580827;68.1212076217444;68.15076097276227;69.43099557211826;69.91147603512854;74.42955133535392;71.7705802702391;74.16233500622648;69.70335405165363;64.35982692186045;63.471833822849156;66.78112207698621;66.12762089567074;61.72752074038558;62.863522982456615;60.497846477344666;58.03692054402351;54.2805566242526;52.48856751594969;50.92235321621523;49.934987058046175;49.9043353294167;55.688085115792035;52.27373701183834;48.66070671720397;49.51744559535225;52.89496120186714;52.770654391541;57.12609687645052;60.29192439906762;73.48522623375717,8.00,68.57,29.28,-,-,-,-,-,-,-,-,-,-,-,-,1009.8000000000001,embedded
4.04,-0.04,68,1747525200,-,-,-,-,-,-,-,12.5910500,-81.6879333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.04,0.11,57.6,1747519800,0.531,5.689,2.96,90.994,73.859,58.241,64.028,12.59107,-81.68793,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.35156;0.38086;0.41016;0.43945;0.46875;0.49805;0.6543,0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.0293;0.0293;0.0293;0.0293;0.0293;0.0293;0.2832,-0.010753;-0.056696;-0.00782;-0.01955;-0.048876;-0.077224;-0.196481;-0.273705;-0.226784;-0.185728;-0.130987;-0.202346;-0.253177;-0.215054;-0.14956;-0.16911;-0.096774;-0.071359;-0.320626;-0.368524;-0.276637;-0.27566;-0.316716;-0.44477;-0.55132;-0.536657;-0.431085;-0.44868;-0.501466;-0.531769;-0.419355;-0.469208;-0.454545;-0.539589;-0.438905;-0.477028;-0.380254;-0.349951;-0.108504,0.01955;-0.050831;-0.014663;-0.067449;-0.061584;0.001955;-0.030303;-0.113392;-0.142717;-0.002933;0.088954;-0.036168;-0.13783;-0.273705;-0.00391;0.002933;-0.174976;-0.247312;-0.135875;-0.185728;-0.201369;-0.152493;-0.15347;-0.115347;-0.168133;-0.143695;-0.232649;-0.335288;-0.370479;-0.319648;-0.361681;-0.396872;-0.359726;-0.272727;-0.367546;-0.294233;-0.26784;-0.219941;-0.086999,0.039101;0.041056;0.009775;0.101662;0.175953;0.162268;0.242424;0.185728;0.163245;0.094819;0.028348;-0.014663;0.168133;-0.053763;-0.041056;-0.160313;-0.241447;-0.13392;0.039101;0.104594;-0.021505;-0.046921;-0.068426;0.164223;0.278592;0.26002;0.034213;-0.014663;0.044966;0.050831;-0.016618;0.028348;0.035191;0.184751;0.083089;0.089932;0.217009;0.341153;0.26784,0.198436;0.222874;0.280547;0.326491;0.251222;0.256109;0.244379;0.231672;0.172043;0.206256;0.342131;0.394917;0.348974;0.359726;0.394917;0.318671;0.12219;0.091887;0.069404;0.138807;0.16911;0.110459;-0.071359;-0.072336;0.13001;0.088954;0.136852;0.251222;0.26393;0.315738;0.246334;0.191593;0.115347;0.241447;0.256109;0.31085;0.246334;0.215054;0.171066,0.0055009279999999995;0.011502592;0.014503936;0.012752896000000001;0.012752896000000001;0.011502592;0.008502271999999998;0.013753344;0.019004415999999996;0.034508800000000006;0.048512;0.033758208000000005;0.03275776;0.036258816000000006;0.047261696000000006;0.051762176;0.041010176;0.033508352;0.031007744;0.031007744;0.031757311999999996;0.027506688;0.022755328;0.029256703999999998;0.034508800000000006;0.03750912;0.038259712;0.038259712;0.043010047999999995;0.044010496;0.041010176;0.046511104000000004;0.038509568;0.042510336;0.034508800000000006;0.029006848000000002;0.027256831999999998;0.023005184;0.008752128000000001,151.1880812287125;48.122072505436904;28.071675682536977;16.164158442671408;38.43719276340363;91.45018813394202;81.23243009214559;67.49648426228248;57.81746183987735;89.09526536742248;124.1806440441847;79.8657831771576;61.43605046246023;38.15723583240538;88.50243728280918;90.99362352544472;28.94567107254261;16.094879935021595;67.03372340589948;63.25289959298158;53.94845974782379;61.04896754534872;64.146720716407;75.46116823332227;73.04015769830801;75.01014199537133;61.645043116160934;53.230103456026654;53.543312814943874;58.98979286384349;49.22322423782464;49.77432857051559;51.641978947911866;63.18638280780863;50.05666024403365;58.3335292305876;54.84023323240979;57.85101444947918;51.277202933192825,80.1194117343456;77.88239188940473;80.35238474604269;78.13156620547896;77.77795123009464;77.83590030262332;72.52821674390438;67.97396611253481;69.32772336305143;73.11663656102557;74.33732152992687;72.22209799201542;68.35925565934863;65.42343832199026;74.7216444664864;73.85888541789272;72.47612575018601;69.82561630990729;65.41620305172813;62.09762703825381;65.71973762671442;67.06162689369235;65.22965698062931;59.571978251560814;52.73780609023506;54.018595379722285;57.87401548237359;53.74101899990757;49.72029806069286;49.91998825690557;54.12680316416439;50.306650281641275;52.53325610109911;50.95164001781555;52.9807829869873;53.719374121328215;59.26088031112706;62.06338239953846;75.18309668611994,8.40,280.00,29.48,-,-,-,-,-,-,-,-,-,-,-,-,1009.8000000000001,embedded
4.04,0.11,57.6,1747518000,-,-,-,-,-,-,-,12.5910500,-81.6879333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.04,0.01,52,1747512600,0.48,5.689,2.869,120.332,76.594,61.482,64.98,12.59103,-81.68792,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.35156;0.38086;0.41016;0.43945;0.46875;0.49805;0.6543,0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.0293;0.0293;0.0293;0.0293;0.0293;0.0293;0.2832,-0.131965;-0.129032;-0.037146;-0.089932;-0.160313;-0.16129;-0.217986;-0.188661;-0.138807;-0.222874;-0.192571;-0.175953;-0.190616;-0.238514;-0.105572;-0.091887;-0.205279;-0.274682;-0.192571;-0.187683;-0.15347;-0.233627;-0.375367;-0.44086;-0.443793;-0.469208;-0.518084;-0.44086;-0.390029;-0.487781;-0.526882;-0.451613;-0.479961;-0.451613;-0.534702;-0.450635;-0.406647;-0.347019;-0.125122,-0.039101;-0.024438;0;0.108504;0.053763;-0.111437;-0.138807;-0.109482;-0.116325;-0.114369;0.022483;-0.010753;-0.233627;-0.201369;0.078201;0.053763;-0.171065;-0.236559;-0.253177;-0.238514;-0.224829;-0.187683;-0.179863;-0.134897;-0.090909;-0.1261;-0.202346;-0.171065;-0.182796;-0.277615;-0.249267;-0.311828;-0.318671;-0.326491;-0.26784;-0.257087;-0.190616;-0.174976;-0.087977,0.160313;0.106549;0.034213;-0.013685;-0.116325;-0.168133;0.030303;0.223851;0.248289;0.174976;0.13001;0.090909;0.034213;0.039101;-0.171065;-0.215054;-0.060606;0.110459;0.054741;0.209189;0.102639;0.135875;0.115347;0.066471;0.060606;0.093842;0.205279;0.204301;0.105572;0.070381;0.129032;0.135875;0.151515;0.085044;0.278592;0.209189;0.402737;0.363636;0.349951,0.322581;0.280547;0.281525;0.388074;0.387097;0.256109;0.29521;0.334311;0.184751;0.273705;0.334311;0.353861;0.377322;0.319648;0.323558;0.277615;0.250244;0.152493;0.139785;0.203324;0.078201;-0.045943;-0.008798;0.008798;-0.01564;-0.035191;0.059629;0.036168;0.009775;0.086022;0.088954;0.101662;0.200391;0.204301;0.2913;0.274682;0.234604;0.215054;0.273705,0.005001216;0.008001536;0.007251968;0.010002432;0.008502271999999998;0.003750912;0.004000768;0.008752128000000001;0.012752896000000001;0.023755776000000003;0.040009728;0.039759872;0.032008192000000005;0.03275776;0.040009728;0.042510336;0.030507008;0.023755776000000003;0.02175488;0.02200576;0.025255935999999996;0.022255616;0.025756671999999998;0.027006976000000002;0.025505792000000003;0.024756223999999997;0.033508352;0.029256703999999998;0.023005184;0.029006848000000002;0.030507008;0.030507008;0.034508800000000006;0.030257152000000002;0.029507584000000003;0.026756095999999997;0.025255935999999996;0.017004543999999996;0.008252416,73.4955351392374;79.275499502917;90;140.3468447207155;108.53953159743904;55.358986910042404;57.51222855308629;59.87294724608461;50.03584450528092;62.83512739855587;96.65923408610004;86.50283752784185;39.21096589729177;49.82677141145723;126.5286866386563;120.33186376912002;50.194566176079206;49.264626267182166;37.257274403012275;38.19866328710617;34.31774495559944;51.22353212269775;64.39785641388312;72.98662132642391;78.42336909477808;74.95715939382399;68.66607326179451;68.79246819366165;64.88878965002021;60.35412477633133;64.68124655733214;55.37584696554302;56.41775369595598;54.13517032446964;63.39304527923582;60.29526745109922;64.88513984471035;63.24157117512442;54.88780687516487,75.24592005742693;75.52071359343824;79.50928531101519;75.10212917467894;73.86099804535009;72.6531035170668;69.77729851126097;71.64828614285283;73.32496033021799;70.14905221433588;72.75079469140789;73.54058860482296;67.71949783256807;67.20229530424815;75.51833569187471;76.59398889075383;69.3627903244239;64.69575613430395;66.91148857978945;67.62345808422756;69.12563247526022;67.80890515928847;61.909440123070915;59.4863428777104;59.9277443401082;58.100443730548676;53.97999263526078;58.82881195524007;61.13542588399992;53.67186802621224;52.33265738221707;54.42744936826818;52.75447548988902;53.91464428782035;51.37269714441647;56.207612519980636;60.14113675099502;63.3559160052499;74.57455569746482,9.20,240.00,29.48,-,-,-,-,-,-,-,-,-,-,-,-,1011.6,embedded
4.04,0.01,52,1747510800,-,-,-,-,-,-,-,12.5910500,-81.6879333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
4.04,0.02,56,1747505400,0.464,7.877,2.848,137.752,74.971,55.925,67.568,12.59103,-81.68793,0.0293;0.03906;0.04883;0.05859;0.06836;0.07813;0.08789;0.09766;0.10742;0.11719;0.12695;0.13672;0.14648;0.15625;0.16602;0.17578;0.18555;0.19531;0.20508;0.21484;0.22461;0.23438;0.24414;0.25391;0.26367;0.27344;0.2832;0.29297;0.30273;0.3125;0.32227;0.33203;0.35156;0.38086;0.41016;0.43945;0.46875;0.49805;0.6543,0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.00977;0.0293;0.0293;0.0293;0.0293;0.0293;0.0293;0.2832,-0.044966;-0.146628;-0.059629;-0.045943;-0.02737;-0.079179;-0.148583;-0.244379;-0.196481;-0.095797;-0.096774;-0.11828;-0.110459;-0.180841;-0.092864;-0.084066;-0.201369;-0.315738;-0.322581;-0.231672;-0.177908;-0.302053;-0.301075;-0.408602;-0.412512;-0.387097;-0.389052;-0.418377;-0.458456;-0.459433;-0.428152;-0.44868;-0.386119;-0.376344;-0.341153;-0.354839;-0.238514;-0.288368;-0.087977,-0.070381;-0.192571;-0.228739;-0.105572;-0.020528;-0.059629;-0.148583;-0.183773;-0.101662;0.01564;0.106549;0.030303;-0.201369;-0.1652;0.081134;-0.014663;-0.15347;-0.184751;-0.195503;-0.202346;-0.185728;-0.147605;-0.166178;-0.090909;-0.113392;-0.099707;-0.129032;-0.14956;-0.200391;-0.335288;-0.358749;-0.253177;-0.302053;-0.332356;-0.338221;-0.265885;-0.239492;-0.183773;-0.078201,0.116325;0.067449;0.067449;-0.112414;-0.351906;-0.112414;0.071359;0.02737;-0.024438;0.031281;-0.147605;-0.046921;-0.092864;-0.034213;-0.02737;-0.068426;-0.039101;0.00782;0.085044;-0.004888;0.041056;-0.01955;0.02737;0.098729;0.079179;0.182796;0.183773;0.105572;0.106549;-0.050831;0.017595;0.090909;-0.021505;-0.029325;0.042033;0.13392;0.258065;0.363636;0.347019,0.353861;0.334311;0.325513;0.26393;0.297165;0.288368;0.13392;0.289345;0.323558;0.319648;0.378299;0.43304;0.498534;0.432063;0.27175;0.292278;0.199414;0.282502;0.224829;-0.008798;-0.052786;0.055718;0.059629;-0.086021;0.078201;0.051808;-0.143695;-0.044966;0.147605;0.228739;0.236559;0.139785;0.175953;0.1652;0.223851;0.270772;0.168133;0.216031;0.257087,0.008252416;0.019755008;0.018254847999999997;0.008252416;0.007501824;0.0060016639999999994;0.004250624;0.00775168;0.015253504;0.024255488000000002;0.03775897599999999;0.02975744;0.029256703999999998;0.026506239999999997;0.03275776;0.02975744;0.019004415999999996;0.01875456;0.018254847999999997;0.01875456;0.020004864;0.020004864;0.023755776000000003;0.028756992000000002;0.023755776000000003;0.02175488;0.022755328;0.028507136;0.030257152000000002;0.03425792;0.036258816000000006;0.031257599999999996;0.025756671999999998;0.026756095999999997;0.024005632;0.025255935999999996;0.02350592;0.020254719999999997;0.008252416,32.574265895478334;37.28648169052849;14.611013288090192;23.51779267326549;53.12943247879343;53.01692205624818;45;53.05683533195065;62.642326532759455;99.27241155110295;137.75244485021886;104.36993764980548;28.746540751362943;47.587998934771804;131.14326531105706;80.10586397946668;52.68777142650117;59.666381028571664;58.78167990086206;48.8655215485648;43.76804291874299;63.95651121788353;61.10354869039452;77.45668735376034;74.63005045682587;75.55593693514061;71.651512754919;70.3292172859434;66.38987378765626;53.878536823710874;50.04032395389356;60.56523397083458;51.964654575004204;48.55171113798133;45.247272021839706;53.15535165285621;44.882773031773695;57.49119275686837;48.366743625313234,77.57099442924141;70.5441125682818;70.80685240441105;76.22123681191059;79.6303001741471;76.90789270363877;72.01383908072818;67.51343096154825;71.50624634637026;76.99558074529763;74.97050934983497;75.92068786574163;71.11719030404234;70.40913448376784;75.86816142157312;77.4940955418009;70.02356548558654;64.5274200748235;63.945780576627854;67.424409121463;69.83559110903323;66.01760302833318;65.63349044733114;61.78425078858254;61.29240368386362;62.778404039071425;62.24489114192267;60.40259847941981;57.27639064429339;53.21000004399827;53.83468203131258;56.419218542456235;57.852941198639776;57.175851675574926;58.40829469559886;60.45167741100489;65.92740349792416;65.73060778381165;76.1103321574938,8.40,45.71,29.28,-,-,-,-,-,-,-,-,-,-,-,-,1013,embedded
4.04,0.02,56,1747503600,-,-,-,-,-,-,-,12.5910333,-81.6879333,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,embedded
