% Device,CC1314009
% File name,CC1314009_20211112_173037
% Cast time (UTC),2021-11-12 17:30:37
% Cast time (local),2021-11-12 12:30:37
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,12.6095516
% Start longitude,-81.7036656
% Start altitude,-0.017999999225139618
% Start GPS horizontal error(Meter),17.75200080871582
% Start GPS vertical error(Meter),33.449001312255859
% Start GPS number of satellites,8
% End latitude,12.6094861
% End longitude,-81.7037872
% End altitude,-1.5809999704360962
% End GPS horizontal error(Meter),9.005000114440918
% End GPS vertical error(Meter),19.562999725341797
% End GPS number of satellites,9
% Cast duration (Seconds),57
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2019-11-05
% Temperature calibration date,2019-10-16
% Pressure calibration date,2019-10-16
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
3.15,3.1481799692943544,29.109098166248227,58870.332728259877,54399.661723600468,36.007646072127166,1544.8443332689008,1022.8000618052565
3.4499999999999997,3.4480029890315249,29.100360940041242,58875.728304228571,54413.433922815981,36.01786933416296,1544.8415323072861,1022.8119591741402
3.75,3.7478230566437922,29.087470927738281,58867.607693501908,54418.894693883885,36.02189186763718,1544.8233897824582,1022.8205935818487
4.05,4.0476420115288674,29.087195217989354,58863.530352898386,54415.402865372118,36.019194035104938,1544.8250347373958,1022.8199412384685
4.35,4.3474615270734356,29.083630130018307,58849.626761597996,54406.13603425114,36.012188907529392,1544.8151631769958,1022.8171583612286
4.6499999999999995,4.6472810521398058,29.055598946094818,58804.545768099088,54392.650266200915,36.002088865880509,1544.7499521964573,1022.8202663686215
4.9499999999999993,4.9470975372165054,29.033323167062957,58798.207993876938,54409.209491040994,36.014422705816486,1544.7204877608701,1022.8382903227079
5.2499999999999991,5.2469097573041932,29.022235841082626,58798.6796859608,54420.812810237119,36.023027920380571,1544.7109406820198,1022.8497569175862
5.55,5.5467194875033732,29.014005131416422,58793.422820799067,54424.239304004856,36.025516724756116,1544.7010617405015,1022.8556695822873
5.85,5.8465270799738089,29.006380078708155,58795.281249197324,54433.643917172281,36.032471127645138,1544.6971557852608,1022.8647335950899
6.1499999999999995,6.146334390579562,29.009492927197314,58785.362283757851,54421.324009649768,36.023169207576515,1544.699095941862,1022.857982960021
6.4499999999999993,6.4461422367605135,29.005250481347669,58782.364763289705,54422.823928565944,36.024209587997035,1544.6961984605398,1022.8614692216328
6.7499999999999991,6.7459481153050289,28.993077866986795,58778.7607206697,54431.7559238543,36.030819900033649,1544.6822237989709,1022.8717992285131
7.0499999999999989,7.0457512427559665,28.985167653338404,58779.676007506721,54440.579294812866,36.037339964484445,1544.6772439117367,1022.8806316320693
7.35,7.3455533566685105,28.978387385800005,58762.632342024765,54431.630128212521,36.030577021730416,1544.6607336507966,1022.8791053553935
7.6499999999999995,7.6453553484617993,28.979018211364412,58766.679687501695,54434.743011988787,36.032812348037929,1544.6694860253829,1022.8818550517626
7.9499999999999993,7.9451561599364977,28.975313321789272,58768.861987561511,54440.501009409731,36.037032957852077,1544.6710653256475,1022.8875496549698
8.25,8.2449556281099348,28.973980620006166,58771.638502054062,54444.417316396321,36.03987262079238,1544.6762597617519,1022.8914115611594
8.5499999999999989,8.54475471268428,28.971403651957157,58763.186889425146,54439.187155821004,36.0358800181894,1544.6716272666388,1022.8905573771832
8.85,8.844553884394287,28.973956971319609,58766.533805941755,54439.712320118379,36.036177894341023,1544.6824516707839,1022.8912070749592
9.1499999999999986,9.1443520312931668,28.97188024740624,58773.539996657579,54448.297638733915,36.042507949570059,1544.6897201802146,1022.8979406828159
9.45,9.44414841901084,28.969388008117676,58777.761718750007,54454.723212637771,36.047225016608181,1544.6944085310477,1022.9036017085832
9.75,9.7439444476029671,28.967762796111952,58767.183036824521,54446.5621623455,36.041040234245521,1544.6895070801372,1022.9007814515063
10.049999999999999,10.043741379476829,28.969391875923563,58761.997700442473,54440.114718669778,36.036129725096288,1544.692892479811,1022.8978278585619
10.35,10.343537970493507,28.964760780334476,58762.5234375,54445.273719172954,36.039904334546051,1544.6920232562211,1022.9034975713264
10.649999999999999,10.643333304614464,28.963247299194336,58763.900390625,54448.076544406118,36.041912196585685,1544.6959576921563,1022.9067950122735
10.95,10.943126818498243,28.961736679077145,58777.232421874993,54461.9540058882,36.052195813260205,1544.7085834583324,1022.9163091460721
11.25,11.242918887942279,28.962251663208004,58777.201171875,54461.405297464516,36.051695260387206,1544.7142177632113,1022.9170421489412
11.549999999999999,11.542710392201165,28.959026741178491,58776.022388732017,54463.567950047422,36.053228060363544,1544.7139977826937,1022.9205562010625
11.85,11.842502415279126,28.963237541768805,58768.187711484054,54452.058835421158,36.04453002133571,1544.7189230520785,1022.9138917599859
12.149999999999999,12.14229546423301,28.96517963929481,58769.328237026435,54451.155939665841,36.043762082491419,1544.727324764056,1022.9139455529421
